Iteration,Mask Proportion,Reward Average
1,1.0,-153.71209716796875
2,0.9802631578947368,-154.48908817768097
3,0.961485745614035,-155.02689969539642
4,0.9425712719298247,-155.15940749645233
5,0.9248903508771931,-155.11952817440033
6,0.9039199561403508,-155.37309181690216
7,0.8832236842105263,-155.4008787870407
8,0.8611567982456139,-155.39943313598633
9,0.8399122807017545,-155.56297326087952
10,0.8179824561403509,-155.36105751991272
11,0.7960526315789475,-155.45667576789856
12,0.7774122807017543,-155.3716448545456
13,0.7582236842105263,-155.412553191185
14,0.7382127192982456,-155.4281519651413
15,0.716968201754386,-155.21941900253296
16,0.6959978070175439,-155.17251908779144
17,0.6750274122807017,-155.14045643806458
18,0.6532346491228069,-155.16013181209564
19,0.6330866228070176,-155.12623763084412
20,0.6128015350877193,-155.12516915798187
21,0.5908717105263157,-154.991889834404
22,0.5701754385964912,-154.76745927333832
23,0.5498903508771931,-154.55466425418854
24,0.5287828947368421,-154.59460067749023
25,0.5095942982456141,-154.55989372730255
26,0.49013157894736836,-154.4274731874466
27,0.4719024122807017,-154.33682227134705
28,0.4514802631578947,-154.34141993522644
29,0.43516995614035087,-154.30533587932587
30,0.41241776315789475,-154.154154419899
31,0.3915844298245614,-153.95361840724945
32,0.37212171052631576,-154.01075959205627
33,0.3510142543859649,-153.92142915725708
34,0.33223684210526316,-153.95888245105743
35,0.3120888157894737,-153.95488440990448
36,0.292077850877193,-153.8753103017807
37,0.27261513157894735,-153.9342964887619
38,0.24986293859649122,-153.96710205078125
39,0.22738486842105263,-153.9618000984192
40,0.20435855263157893,-153.76315438747406
41,0.18393640350877194,-153.76562118530273
42,0.16324013157894737,-153.76855528354645
43,0.14295504385964908,-153.64551734924316
44,0.12253289473684209,-153.62757313251495
45,0.10183662280701752,-153.62369537353516
46,0.07812499999999999,-153.6498727798462
47,0.060032894736842105,-153.57711565494537
48,0.04194078947368421,-153.58197331428528
49,0.021655701754385963,-153.4973156452179
