Iteration,Mask Proportion,Reward Average
1,1.0,-153.71209716796875
2,0.9777960526315789,-152.83298873901367
3,0.9577850877192984,-151.71510541439056
4,0.936951754385965,-150.89168643951416
5,0.9155701754385966,-150.10667967796326
6,0.8962445175438595,-149.15960228443146
7,0.876781798245614,-148.5056915283203
8,0.8595120614035088,-147.9398134946823
9,0.8405975877192982,-147.3565216064453
10,0.8248355263157895,-146.93819630146027
11,0.8097587719298245,-146.5452024936676
12,0.7941337719298246,-146.12489998340607
13,0.7797423245614035,-145.8418846130371
14,0.7631578947368423,-145.5479987859726
15,0.7495888157894736,-145.3039470911026
16,0.7356085526315791,-145.01623392105103
17,0.7191611842105263,-144.73090040683746
18,0.7038103070175439,-144.47312533855438
19,0.6879111842105263,-144.18915843963623
20,0.6726973684210527,-143.8820345401764
21,0.65625,-143.74265551567078
22,0.640625,-143.51121652126312
23,0.6258223684210527,-143.282133102417
24,0.6115679824561402,-143.0505188703537
25,0.596217105263158,-142.9634885787964
26,0.5805921052631579,-142.80018854141235
27,0.5656524122807017,-142.59094262123108
28,0.5483826754385965,-142.353950381279
29,0.5276864035087719,-142.13422918319702
30,0.506578947368421,-141.93059659004211
31,0.49081688596491224,-141.77385294437408
32,0.4724506578947368,-141.56893455982208
33,0.45381030701754377,-141.39247751235962
34,0.43681469298245607,-141.24587678909302
35,0.41707785087719296,-141.07110834121704
36,0.3987116228070175,-140.92026042938232
37,0.3770559210526315,-140.8202749490738
38,0.3549890350877193,-140.72752439975739
39,0.33374451754385964,-140.6313614845276
40,0.31099232456140347,-140.50405895709991
41,0.29207785087719296,-140.40486204624176
42,0.27179276315789475,-140.31485176086426
43,0.24629934210526316,-140.2321501970291
44,0.21710526315789472,-140.13931441307068
45,0.18859649122807015,-140.07536685466766
46,0.1547423245614035,-139.9904546737671
47,0.11979166666666666,-139.92239117622375
48,0.08538925438596491,-139.90665411949158
49,0.04317434210526316,-139.84861755371094
