Iteration,Mask Proportion,Reward Average
1,1.0,-0.4507
2,0.9797149122807017,-0.4542
3,0.9579221491228072,-0.4408
4,0.9350328947368421,-0.4331
5,0.9154331140350879,-0.4197
6,0.8945997807017543,-0.4083
7,0.8765076754385965,-0.4027
8,0.8559484649122806,-0.3915
9,0.8331962719298245,-0.3755
10,0.814830043859649,-0.3672
11,0.7975603070175438,-0.3500
12,0.7761787280701755,-0.3601
13,0.7558936403508772,-0.3647
14,0.7375274122807018,-0.3709
15,0.714638157894737,-0.3652
16,0.6955866228070176,-0.3576
17,0.6747532894736843,-0.3543
18,0.6566611842105262,-0.3516
19,0.6369243421052632,-0.3450
20,0.6140350877192983,-0.3341
21,0.5963541666666667,-0.3227
22,0.5745614035087719,-0.3313
23,0.5520833333333334,-0.3328
24,0.5328947368421053,-0.3355
25,0.512609649122807,-0.3378
26,0.4908168859649123,-0.3357
27,0.46820175438596484,-0.3412
28,0.4502467105263158,-0.3347
29,0.4302357456140351,-0.3299
30,0.4087171052631579,-0.3226
31,0.387609649122807,-0.3105
32,0.3688322368421052,-0.3153
33,0.34950657894736836,-0.3212
34,0.32853618421052627,-0.3266
35,0.30962171052631576,-0.3261
36,0.2897478070175438,-0.3213
37,0.2705592105263158,-0.3187
38,0.2509594298245614,-0.3135
39,0.23163377192982454,-0.3116
40,0.20874451754385964,-0.3080
41,0.18763706140350872,-0.3039
42,0.16515899122807015,-0.3063
43,0.1429550438596491,-0.3090
44,0.12472587719298245,-0.3113
45,0.10498903508771928,-0.3089
46,0.08292214912280702,-0.3093
47,0.061814692982456135,-0.3081
48,0.0400219298245614,-0.3016
49,0.02192982456140351,-0.3001
