Iteration,Mask Proportion,Reward Average
1,1.0,-143.56893920898438
2,0.9638157894736843,-133.03147971630096
3,0.9316063596491228,-127.85063350200653
4,0.9044682017543861,-124.9648824930191
5,0.8792489035087719,-123.0676931142807
6,0.8534813596491229,-121.02326971292496
7,0.8304550438596492,-119.55913174152374
8,0.8092105263157895,-118.36369973421097
9,0.788514254385965,-117.358473777771
10,0.7694627192982456,-116.66328275203705
11,0.753563596491228,-116.16458135843277
12,0.7376644736842105,-115.68774515390396
13,0.7212171052631579,-115.30606067180634
14,0.704906798245614,-114.91195368766785
15,0.6883223684210525,-114.48240047693253
16,0.6743421052631579,-114.28638005256653
17,0.6607730263157894,-114.02065587043762
18,0.6478892543859649,-113.79121887683868
19,0.6328125,-113.60622900724411
20,0.6182839912280701,-113.43653613328934
21,0.602796052631579,-113.22881269454956
22,0.5903234649122807,-113.07372397184372
23,0.574424342105263,-112.9296156167984
24,0.5627741228070176,-112.79897844791412
25,0.5503015350877194,-112.71839112043381
26,0.5349506578947368,-112.53452438116074
27,0.5198739035087719,-112.39585065841675
28,0.5068530701754386,-112.32342916727066
29,0.4925986842105263,-112.20795118808746
30,0.4805372807017544,-112.16836899518967
31,0.4638157894736842,-112.13143563270569
32,0.447094298245614,-112.09792178869247
33,0.43229166666666663,-111.97425347566605
34,0.41652960526315785,-111.90665662288666
35,0.40254934210526316,-111.84209382534027
36,0.3825383771929825,-111.83538621664047
37,0.36458333333333337,-111.76303833723068
38,0.3470394736842105,-111.72269833087921
39,0.3277138157894737,-111.63581091165543
40,0.30688048245614036,-111.63667488098145
41,0.2875548245614035,-111.56658208370209
42,0.2635690789473685,-111.50141370296478
43,0.2387609649122807,-111.45493519306183
44,0.21340460526315785,-111.42538660764694
45,0.18777412280701752,-111.37985771894455
46,0.15556469298245615,-111.3666929602623
47,0.12102521929824561,-111.42076832056046
48,0.08552631578947369,-111.48940706253052
49,0.04290021929824561,-111.48923629522324
