Iteration,Mask Proportion,Reward Average
1,1.0,-154.1224568684896
2,0.9652687707652415,-148.41605533659458
3,0.9353830388533318,-145.20573470989862
4,0.9092228825640553,-143.30220175286135
5,0.8861536778329963,-141.9108863423268
6,0.8643773527315265,-140.83666770656905
7,0.8434501437418905,-139.95152447124323
8,0.8247923013447297,-139.24659798542658
9,0.8071441488242278,-138.68544893960157
10,0.7907449352767179,-138.21650959551334
11,0.7740123137800904,-137.78763710955778
12,0.7577473586145128,-137.4022132754326
13,0.7423283183396258,-137.04687615235648
14,0.7275010077612046,-136.75595773756504
15,0.713107765165442,-136.4993603626887
16,0.6983944392668532,-136.2412464519342
17,0.6838332462409263,-136.04101851582527
18,0.6700409267568612,-135.83434704939523
19,0.6560976257855857,-135.65477483471236
20,0.641552235443275,-135.50158875683942
21,0.6279134746478326,-135.33696064849696
22,0.6132800990129311,-135.19376089672247
23,0.5986887385767432,-135.04316529631615
24,0.5850131385734897,-134.90481688578924
25,0.5707713072979265,-134.77151640256247
26,0.5561884851557041,-134.670108238856
27,0.5412146019015839,-134.57547675073147
28,0.5270272155176378,-134.4956750969092
29,0.5122911945968466,-134.4178739786148
30,0.4970717938225901,-134.35091746846834
31,0.4806562911555676,-134.28172051906586
32,0.4642910273541032,-134.20187086860338
33,0.448363901898883,-134.15989318986735
34,0.4320635879825221,-134.11058485507965
35,0.4151051674750883,-134.04232697188854
36,0.39723515991140435,-134.003368789951
37,0.3785138091400748,-133.97160455584526
38,0.3584591838751894,-133.94302874306837
39,0.3385915135112281,-133.91419888536134
40,0.31677802371528063,-133.87675205866495
41,0.29567184535113655,-133.84031011164188
42,0.27194682854267765,-133.84096003075442
43,0.24607162721457512,-133.83447826405367
44,0.22000571112308112,-133.82248333096504
45,0.1917095442744842,-133.83641810715199
46,0.16224315616719875,-133.8171053826809
47,0.1274330368054428,-133.8374813000361
48,0.08971957223206257,-133.83912382026514
49,0.045724138138146346,-133.8512738198042
