Iteration,Mask Proportion,Reward Average
1,1.0,-153.71209716796875
2,0.9786184210526315,-154.3980211019516
3,0.9605263157894737,-154.83128952980042
4,0.941748903508772,-154.93862974643707
5,0.9205043859649122,-154.8081636428833
6,0.9003563596491228,-154.81326580047607
7,0.8800712719298245,-154.73536252975464
8,0.8582785087719298,-154.5270848274231
9,0.8404605263157893,-154.40368354320526
10,0.8227796052631577,-154.13014698028564
11,0.8029057017543859,-154.04815542697906
12,0.7822094298245612,-153.9180279970169
13,0.7606907894736842,-153.82971572875977
14,0.7409539473684211,-153.5591539144516
15,0.7203947368421054,-153.2821183204651
16,0.7027138157894737,-153.14919888973236
17,0.6836622807017544,-152.8881595134735
18,0.6650219298245613,-152.61510276794434
19,0.6454221491228069,-152.4432100057602
20,0.6230811403508771,-152.04685723781586
21,0.6032072368421053,-151.8015033006668
22,0.5841557017543859,-151.6506645679474
23,0.5618146929824561,-151.6389845609665
24,0.5409813596491228,-151.41476011276245
25,0.5224780701754386,-151.2504780292511
26,0.5032894736842105,-150.98269402980804
27,0.48574561403508776,-150.84122455120087
28,0.46655701754385964,-150.81766784191132
29,0.4473684210526316,-150.49233043193817
30,0.42502741228070173,-150.14743840694427
31,0.40186403508771923,-149.94127702713013
32,0.38116776315789475,-149.80211424827576
33,0.3581414473684211,-149.4309457540512
34,0.33771929824561403,-149.33924329280853
35,0.31770833333333337,-149.10542452335358
36,0.2948190789473684,-148.75856697559357
37,0.2702850877192982,-148.8354139328003
38,0.24862938596491227,-148.74680829048157
39,0.22738486842105263,-148.60026729106903
40,0.20819627192982457,-148.470645070076
41,0.1879111842105263,-148.4016431570053
42,0.16707785087719296,-148.19332456588745
43,0.14802631578947364,-148.13122308254242
44,0.12705592105263155,-147.9767553806305
45,0.10334429824561403,-148.05870640277863
46,0.08360745614035088,-148.01404786109924
47,0.062088815789473686,-147.9137078523636
48,0.04152960526315789,-147.84027695655823
49,0.02124451754385965,-147.72170495986938
