Iteration,Mask Proportion,Reward Average
1,1.0,-160.281276067098
2,0.9798106554482756,-159.73139136036238
3,0.9589814073891606,-159.37672554453215
4,0.9382440316097331,-159.02079493304095
5,0.9183052940367928,-158.82194682459036
6,0.8979968769275276,-158.44151131808758
7,0.8769495430550234,-158.0734198987484
8,0.8568746448934047,-157.7631486604611
9,0.8354203766605726,-157.43998768925667
10,0.8146584662702602,-157.11440432568392
11,0.7945907219915451,-156.82693185905615
12,0.7744126051996751,-156.4981845021248
13,0.7550599058660213,-156.09418238699436
14,0.7347736853275696,-155.83177676796913
15,0.713307432723711,-155.61684637268385
16,0.6923033502834808,-155.34805145859718
17,0.6719275480007433,-155.14875539640585
18,0.6515420485873061,-154.8382242769003
19,0.6306721592049028,-154.53562885026136
20,0.6100527727557041,-154.24599209427834
21,0.5897233256954469,-153.94888899723688
22,0.5702341948050985,-153.8102781077226
23,0.5498461048040455,-153.43071042497954
24,0.5295914688522625,-153.2586259841919
25,0.5096129428095725,-153.0413722048203
26,0.48897425658801774,-152.8596005141735
27,0.46835123736664874,-152.63515502214432
28,0.4484626023707809,-152.40849143266678
29,0.42798239263129334,-152.22478817900023
30,0.4073302607236488,-152.11116080482802
31,0.3865709150678031,-151.95698681970438
32,0.36611789058334926,-151.78538137177625
33,0.3449756770869113,-151.61418016751608
34,0.32536301712248256,-151.4823820491632
35,0.30526731559822434,-151.29559634625912
36,0.2846927714355329,-151.16308057308197
37,0.2642330719510081,-150.9504892875751
38,0.24341224033074974,-150.85412322978178
39,0.22287699010915085,-150.68398182590803
40,0.2023393161944048,-150.6034034093221
41,0.18136890740807787,-150.44012056291103
42,0.1614378288358278,-150.35188134511313
43,0.14079454735659871,-150.2584243218104
44,0.11993533810879108,-150.20730647444725
45,0.10023095915535706,-150.0674383342266
46,0.07970322757886598,-150.02103210488954
47,0.06053265067892497,-149.9305847187837
48,0.03996335293267666,-149.81915806233883
49,0.019864699666180773,-149.76080868641534
