Iteration,Mask Proportion,Reward Average
1,1.0,-143.56893920898438
2,0.9775219298245614,-140.05402851104736
3,0.9583333333333335,-137.6792243719101
4,0.9401041666666667,-136.47428238391876
5,0.9187225877192983,-134.89952528476715
6,0.9009046052631579,-133.66454887390137
7,0.8800712719298245,-132.1538354754448
8,0.8595120614035087,-130.6194750070572
9,0.8393640350877193,-129.23578262329102
10,0.8170230263157895,-128.27746087312698
11,0.7983826754385965,-127.57719075679779
12,0.7775493421052632,-126.86156922578812
13,0.7583607456140351,-125.68754976987839
14,0.7368421052631579,-124.89951169490814
15,0.7136787280701754,-123.7407237291336
16,0.6916118421052632,-123.34749037027359
17,0.6732456140350876,-122.42452430725098
18,0.6504934210526315,-121.40969848632812
19,0.6296600877192983,-120.57954925298691
20,0.6089638157894738,-119.97436058521271
21,0.5873081140350876,-119.0793308019638
22,0.5696271929824561,-118.64566838741302
23,0.5520833333333334,-118.21492791175842
24,0.5308388157894737,-118.1325518488884
25,0.5117872807017545,-118.05774700641632
26,0.4910910087719298,-118.09086668491364
27,0.47176535087719296,-117.52437770366669
28,0.4486019736842105,-117.39859050512314
29,0.4270833333333333,-117.0775797367096
30,0.40899122807017535,-117.10898125171661
31,0.3884320175438596,-116.99668073654175
32,0.3704769736842105,-117.02435791492462
33,0.34731359649122806,-116.93283402919769
34,0.3249725877192982,-116.90911585092545
35,0.3061951754385965,-116.75794351100922
36,0.2881030701754385,-116.41124671697617
37,0.2665844298245614,-116.35524016618729
38,0.2464364035087719,-116.34483444690704
39,0.22464364035087717,-116.25221747159958
40,0.20285087719298245,-116.20231127738953
41,0.18270285087719298,-116.03436201810837
42,0.16228070175438594,-115.77889692783356
43,0.13856907894736842,-115.70348453521729
44,0.11773574561403508,-115.59071385860443
45,0.09841008771929825,-115.61863213777542
46,0.07894736842105263,-115.61143589019775
47,0.05797697368421052,-115.61033260822296
48,0.039199561403508776,-115.63575911521912
49,0.020285087719298246,-115.56617593765259
