Iteration,Mask Proportion,Reward Average
1,1.0,-154.1224568684896
2,0.9798714804619486,-153.01173995435238
3,0.9590957089548998,-151.99185655514398
4,0.938324340812129,-151.1329233100017
5,0.917473233198606,-150.28415814538798
6,0.8968468641834978,-149.55900332828364
7,0.8765285000380937,-148.83125199377537
8,0.8561260341964817,-148.3600787470738
9,0.8352321382146339,-147.69831515848637
10,0.8149200949298501,-147.16931999226412
11,0.7947273735055663,-146.78472561140856
12,0.7746571774576477,-146.41929803788662
13,0.7537888521500804,-145.98814069728056
14,0.7332967060672431,-145.6323503702879
15,0.7130009532441837,-145.2395694653193
16,0.6930522253186354,-144.82762767374516
17,0.6728006729043642,-144.4956674327453
18,0.6527619656447855,-144.16341947515807
19,0.6325582203193841,-143.82572235167027
20,0.6110949403366314,-143.60609461863837
21,0.5902572358541244,-143.33895210921764
22,0.5702658841877761,-142.91687103609243
23,0.54950308258766,-142.63900028169155
24,0.5292916585011637,-142.46536832054457
25,0.5088433149191148,-142.23000897963843
26,0.4888427802742588,-141.98745562136173
27,0.46867942323839623,-141.83391623198986
28,0.4485226446112553,-141.64884637792906
29,0.427629055175528,-141.49994518856207
30,0.4074305646776471,-141.36473977565765
31,0.38720606094887944,-141.1845701833566
32,0.36639638041101047,-141.02073425551256
33,0.34527475335020946,-140.88780949016413
34,0.3248562817192954,-140.72134122252464
35,0.305513417082214,-140.64434280494848
36,0.2856544407099215,-140.46481680870056
37,0.2645765662145134,-140.3730424642563
38,0.24475073161218172,-140.23124563197294
39,0.22461833041717894,-140.15329615275064
40,0.20489587355008235,-140.04632524152598
41,0.18436234028531195,-139.97178895274797
42,0.1635795969927226,-139.9154359449943
43,0.14197448197207518,-139.79966279367605
44,0.12170718417080013,-139.68111672500768
45,0.1016224112996149,-139.60618293782076
46,0.08112261982067846,-139.57700286308923
47,0.061344514611136464,-139.50353582700095
48,0.04032376202260586,-139.4801401744286
49,0.020667281827000707,-139.4498959084352
