Iteration,Mask Proportion,Reward Average
1,1.0,-160.281276067098
2,0.9785747101479866,-159.96661510070166
3,0.9576272985645048,-159.75625502566496
4,0.9360267468159171,-159.69800292452177
5,0.914885465607007,-159.6430171082417
6,0.8941651735954529,-159.4830657442411
7,0.8733903321181092,-159.3578693320354
8,0.8527038475202525,-159.3610605597496
9,0.8323257897307763,-159.2038281907638
10,0.8125224870619113,-159.06648063162962
11,0.7919921800569573,-158.98924888173738
12,0.7716907326924677,-158.97521721820036
13,0.7521115125005177,-158.9282856732607
14,0.7326193352044905,-158.76135633389154
15,0.711591862526849,-158.62926106651625
16,0.6907608770716328,-158.5341612994671
17,0.6706748793709544,-158.49384003380933
18,0.6499010080607089,-158.33485709130764
19,0.6290077253371305,-158.20265770951906
20,0.6088982388448575,-158.19211533665657
21,0.5889004444300431,-158.12457558512688
22,0.5695029231086061,-158.09045651058355
23,0.548988341780226,-158.12155366937318
24,0.5286755272318765,-158.0911939392487
25,0.508294331383535,-158.01316381494203
26,0.48777691550412633,-157.95178877810636
27,0.4670896215570282,-157.90264435609183
28,0.4469921792336296,-157.94019055863222
29,0.4271518317172371,-157.8353947599729
30,0.4061057196090861,-157.79202135900655
31,0.38600445630822294,-157.73331979413828
32,0.36577890284701137,-157.67923189202943
33,0.34568892305320614,-157.65464935203394
34,0.3242458267897835,-157.6487761437893
35,0.3039883173711924,-157.64364249507585
36,0.28414965004566695,-157.61742017666498
37,0.264661088125359,-157.60613612333933
38,0.24464518430564522,-157.62761453787485
39,0.22467070513498374,-157.61051182448864
40,0.20402475245989413,-157.57499679923058
41,0.18459956762055688,-157.56668140987554
42,0.1643322675286368,-157.52144013841948
43,0.14374698522496684,-157.53858737150827
44,0.1241320777799123,-157.49114598830542
45,0.10362494950113936,-157.5269639392694
46,0.08270767584594264,-157.52237948278585
47,0.062052871346245105,-157.50865462919077
48,0.04082379502372987,-157.52355769773325
49,0.019920949450125024,-157.515934313337
