Iteration,Mask Proportion,Reward Average
1,1.0,-154.1224568684896
2,0.9791971570799302,-153.43759083251157
3,0.9575501035656293,-152.69878712296486
4,0.9354678363791732,-152.24914713203907
5,0.9144457468235613,-151.6014500359694
6,0.8937581204631994,-151.1927439123392
7,0.8733521199110924,-150.85897031923136
8,0.8528552254808389,-150.46213805675507
9,0.8323868999532428,-150.12673527002335
10,0.8124319739663828,-149.9870442946752
11,0.7918292443339965,-149.70737824837366
12,0.7718136195983152,-149.4319257636865
13,0.7519753023195864,-149.40120143691698
14,0.7323535097712773,-149.2893480261167
15,0.7116779415564886,-149.0899879435698
16,0.6914920611081222,-149.03108023603758
17,0.671473647707055,-148.89129634201527
18,0.6514093126271032,-148.76472355922064
19,0.6303890390174577,-148.6550410191218
20,0.6103877688423495,-148.5225561161836
21,0.5894017327685713,-148.47348593672118
22,0.5695840287061831,-148.39720606803894
23,0.5485661933183917,-148.25527707238993
24,0.528570530847591,-148.21075421571732
25,0.5085569478988431,-148.17034884790579
26,0.488046917124868,-148.0786246061325
27,0.4673483374564966,-147.98480817178884
28,0.4469400670368351,-147.97956117987633
29,0.42683773447169066,-148.0859627376
30,0.40656693046569065,-147.96598004798093
31,0.38621879345821114,-147.92450825870037
32,0.36637225603154494,-147.96136424442133
33,0.3457381736994016,-147.8925736049811
34,0.32451713644374486,-147.90935633083186
35,0.3037466102984651,-147.84053606291613
36,0.2835255831103446,-147.8281430900097
37,0.26343432667093797,-147.7918620208899
38,0.24306391129506133,-147.8231678356727
39,0.22322611742307033,-147.80062656104565
40,0.20290441633535158,-147.77993259330592
41,0.18334136201653295,-147.77216976881027
42,0.16322612676660303,-147.77885104219118
43,0.14349163796576722,-147.7930312703053
44,0.12390742020673275,-147.7977937757969
45,0.10347905534887349,-147.81067411601543
46,0.08259704606762179,-147.837010572354
47,0.062280960772533527,-147.82368677357832
48,0.041684003435520166,-147.83854131897291
49,0.020539752343238887,-147.8452356904745
