Iteration,Mask Proportion,Reward Average
1,1.0,-153.71209716796875
2,0.96875,-149.4966722726822
3,0.9380482456140351,-147.1673333644867
4,0.9073464912280701,-145.76128542423248
5,0.8763706140350878,-144.40082395076752
6,0.8484100877192983,-143.4032325744629
7,0.8241502192982456,-142.6341313123703
8,0.8001644736842106,-141.96732819080353
9,0.7733004385964911,-141.32509052753448
10,0.7530153508771931,-140.76554334163666
11,0.7321820175438596,-140.24344766139984
12,0.7123081140350876,-139.8678087592125
13,0.6929824561403508,-139.4160779118538
14,0.6713267543859649,-139.0252275466919
15,0.6546052631578947,-138.62678742408752
16,0.6384320175438596,-138.33899772167206
17,0.6193804824561404,-138.0015099644661
18,0.6021107456140351,-137.70431303977966
19,0.5867598684210525,-137.45171296596527
20,0.5733278508771931,-137.1944521665573
21,0.557702850877193,-136.9441997408867
22,0.542077850877193,-136.64761626720428
23,0.5272752192982457,-136.42597430944443
24,0.5121984649122807,-136.2492480278015
25,0.49890350877192985,-136.15019553899765
26,0.4838267543859649,-135.99830448627472
27,0.4688870614035088,-135.91016095876694
28,0.4506578947368421,-135.7804771065712
29,0.43640350877192985,-135.62573963403702
30,0.42214912280701755,-135.49082893133163
31,0.408031798245614,-135.42018002271652
32,0.39240679824561403,-135.4007766842842
33,0.3776041666666667,-135.3659147620201
34,0.3629385964912281,-135.31754916906357
35,0.3500548245614035,-135.26039534807205
36,0.3336074561403508,-135.18236154317856
37,0.31757127192982454,-135.0941395163536
38,0.30098684210526316,-135.0487168431282
39,0.2864583333333333,-135.01206105947495
40,0.270422149122807,-134.97573339939117
41,0.25342653508771934,-134.90321558713913
42,0.23204495614035087,-134.85906267166138
43,0.21121162280701752,-134.84423804283142
44,0.19147478070175436,-134.82375186681747
45,0.1689967105263158,-134.7828353047371
46,0.14446271929824558,-134.72532051801682
47,0.11759868421052633,-134.7023076415062
48,0.08799342105263158,-134.6799926161766
49,0.04618969298245614,-134.66201716661453
