Iteration,Mask Proportion,Reward Average
1,1.0,-153.71209716796875
2,0.9473684210526317,-150.8937350511551
3,0.8947368421052635,-149.4143545627594
4,0.8421052631578946,-147.1261796951294
5,0.7897478070175439,-144.43984735012054
6,0.737253289473684,-140.96262979507446
7,0.6846217105263157,-137.79483765363693
8,0.6321271929824562,-135.16213941574097
9,0.5796326754385968,-133.30703485012054
10,0.5272752192982455,-131.797003865242
11,0.4751918859649124,-131.05000633001328
12,0.4220120614035086,-130.36310040950775
13,0.3695175438596491,-129.97755467891693
14,0.31208881578947373,-129.76191174983978
15,0.2513706140350877,-129.60005444288254
16,0.1916118421052631,-129.54858189821243
17,0.1373355263157895,-129.49108749628067
18,0.09512061403508772,-129.46101742982864
19,0.06400767543859648,-129.4609815478325
20,0.04180372807017543,-129.4609815478325
21,0.02741228070175438,-129.4609815478325
22,0.019599780701754384,-129.4609815478325
23,0.016584429824561403,-129.4609815478325
24,0.013843201754385963,-129.4609815478325
25,0.012472587719298243,-129.4609815478325
26,0.011650219298245612,-129.4609815478325
27,0.011239035087719298,-129.4609815478325
28,0.010416666666666664,-129.4609815478325
29,0.009731359649122806,-129.4609815478325
30,0.009457236842105261,-129.4609815478325
31,0.009046052631578948,-129.4609815478325
32,0.00863486842105263,-129.4609815478325
33,0.008360745614035086,-129.4609815478325
34,0.008360745614035086,-129.4609815478325
35,0.008360745614035086,-129.4609815478325
36,0.008086622807017545,-129.4609815478325
37,0.007538377192982456,-129.4609815478325
38,0.007401315789473684,-129.4609815478325
39,0.0072642543859649114,-129.4609815478325
40,0.0072642543859649114,-129.4609815478325
41,0.0072642543859649114,-129.4609815478325
42,0.0072642543859649114,-129.4609815478325
43,0.0072642543859649114,-129.4609815478325
44,0.0072642543859649114,-129.4609815478325
45,0.0072642543859649114,-129.4609815478325
46,0.0072642543859649114,-129.4609815478325
47,0.006853070175438596,-129.4609815478325
48,0.006578947368421053,-129.4609815478325
49,0.006441885964912281,-129.4609815478325
