Iteration,Mask Proportion,Reward Average
1,1.0,-153.71209716796875
2,0.96875,-149.49667167663574
3,0.9380482456140351,-147.1673355102539
4,0.9073464912280701,-145.76128768920898
5,0.8763706140350878,-144.4008274078369
6,0.8484100877192983,-143.4032325744629
7,0.8241502192982456,-142.63413047790527
8,0.8001644736842106,-141.9673309326172
9,0.7733004385964911,-141.32509422302246
10,0.7530153508771931,-140.76554679870605
11,0.7321820175438596,-140.24344635009766
12,0.7123081140350876,-139.8678092956543
13,0.6929824561403508,-139.41607666015625
14,0.6713267543859649,-139.02522659301758
15,0.6546052631578947,-138.6267852783203
16,0.6384320175438596,-138.33900260925293
17,0.6193804824561404,-138.00151252746582
18,0.6021107456140351,-137.70431327819824
19,0.5867598684210525,-137.45171546936035
20,0.5733278508771931,-137.19445419311523
21,0.557702850877193,-136.9441967010498
22,0.542077850877193,-136.64761924743652
23,0.5272752192982457,-136.42597579956055
24,0.5121984649122807,-136.2492446899414
25,0.49890350877192985,-136.15019607543945
26,0.4838267543859649,-135.9983024597168
27,0.4688870614035088,-135.91015625
28,0.4506578947368421,-135.7804718017578
29,0.43640350877192985,-135.62574005126953
30,0.42214912280701755,-135.4908275604248
31,0.408031798245614,-135.42017936706543
32,0.39240679824561403,-135.40077781677246
33,0.3776041666666667,-135.36591339111328
34,0.3629385964912281,-135.3175506591797
35,0.3500548245614035,-135.2603931427002
36,0.3336074561403508,-135.1823616027832
37,0.31757127192982454,-135.09413528442383
38,0.30098684210526316,-135.04871368408203
39,0.2864583333333333,-135.01205825805664
40,0.270422149122807,-134.9757308959961
41,0.25342653508771934,-134.90321731567383
42,0.23204495614035087,-134.85906219482422
43,0.21121162280701752,-134.84423828125
44,0.19147478070175436,-134.82374954223633
45,0.1689967105263158,-134.78283309936523
46,0.14446271929824558,-134.72531700134277
47,0.11759868421052633,-134.7023048400879
48,0.08799342105263158,-134.67999076843262
49,0.04618969298245614,-134.662015914917
