Iteration,Mask Proportion,Reward Average
1,1.0,-153.71209716796875
2,0.9838267543859648,-154.1744441986084
3,0.9616228070175439,-154.53915405273438
4,0.9421600877192983,-154.4795970916748
5,0.9228344298245612,-154.1883316040039
6,0.9035087719298246,-153.96164512634277
7,0.8796600877192982,-153.90974807739258
8,0.8591008771929824,-153.73723983764648
9,0.8377192982456141,-153.66263008117676
10,0.8182565789473684,-153.41041374206543
11,0.7972861842105264,-153.24746704101562
12,0.7790570175438597,-152.99570846557617
13,0.7579495614035089,-152.944242477417
14,0.7367050438596492,-152.40490531921387
15,0.7171052631578946,-151.9660987854004
16,0.6961348684210525,-151.70561027526855
17,0.6736567982456141,-151.3202724456787
18,0.6539199561403509,-150.63973999023438
19,0.6348684210526314,-150.14066123962402
20,0.6130756578947368,-149.65638160705566
21,0.5910087719298246,-149.3666877746582
22,0.5697642543859649,-148.76606941223145
23,0.5505756578947368,-148.3342628479004
24,0.5296052631578948,-147.86279487609863
25,0.5084978070175439,-147.25566291809082
26,0.48848684210526316,-146.90151596069336
27,0.46573464912280704,-146.59259223937988
28,0.4468201754385965,-146.26113319396973
29,0.42749451754385964,-145.7918586730957
30,0.40487938596491224,-145.2112102508545
31,0.3866502192982456,-145.01222610473633
32,0.365953947368421,-144.44233894348145
33,0.3482730263157895,-144.12052154541016
34,0.3268914473684211,-143.82634735107422
35,0.31003289473684215,-143.62453842163086
36,0.2909813596491228,-143.27047157287598
37,0.26740679824561403,-142.94706344604492
38,0.24725877192982457,-142.7114601135254
39,0.22560307017543857,-142.47465896606445
40,0.20833333333333331,-142.32481002807617
41,0.19010416666666666,-142.16067504882812
42,0.16968201754385964,-141.77376556396484
43,0.1498081140350877,-141.66205406188965
44,0.12705592105263155,-141.40843391418457
45,0.10457785087719297,-141.04031562805176
46,0.08580043859649122,-140.96988487243652
47,0.06455592105263158,-141.02366828918457
48,0.043448464912280695,-140.8960723876953
49,0.023026315789473683,-140.78159141540527
