Iteration,Mask Proportion,Reward Average
1,1.0,-153.71209716796875
2,0.9298245614035087,-150.32708358764648
3,0.8601973684210523,-148.0312557220459
4,0.7901589912280701,-145.17638778686523
5,0.7202576754385964,-140.9440689086914
6,0.650219298245614,-137.2703857421875
7,0.5803179824561406,-134.50987434387207
8,0.5108278508771932,-132.95541191101074
9,0.44065241228070173,-132.01504135131836
10,0.36924342105263147,-131.08414268493652
11,0.30002741228070173,-130.77531242370605
12,0.2286184210526315,-130.5975570678711
13,0.15748355263157895,-130.53451347351074
14,0.10142543859649121,-130.51078605651855
15,0.06606359649122806,-130.50540924072266
16,0.04550438596491228,-130.50540924072266
17,0.03330592105263158,-130.50540924072266
18,0.024122807017543862,-130.50540924072266
19,0.01836622807017544,-130.50540924072266
20,0.014117324561403508,-130.50540924072266
21,0.012198464912280702,-130.50540924072266
22,0.009183114035087718,-130.50540924072266
23,0.008634868421052632,-130.50540924072266
24,0.00849780701754386,-130.50540924072266
25,0.007401315789473685,-130.50540924072266
26,0.007401315789473685,-130.50540924072266
27,0.006853070175438597,-130.46682167053223
28,0.006167763157894737,-130.46682167053223
29,0.0053453947368421045,-130.46682167053223
30,0.0050712719298245616,-130.46682167053223
31,0.004934210526315789,-130.46682167053223
32,0.004934210526315789,-130.46682167053223
33,0.004797149122807018,-130.46682167053223
34,0.004660087719298245,-130.46682167053223
35,0.004660087719298245,-130.46682167053223
36,0.0043859649122807015,-130.46682167053223
37,0.004111842105263158,-130.46682167053223
38,0.003837719298245614,-130.46682167053223
39,0.003426535087719298,-130.46682167053223
40,0.003152412280701754,-130.46682167053223
41,0.0030153508771929823,-130.46682167053223
42,0.0030153508771929823,-130.46682167053223
43,0.0030153508771929823,-130.46682167053223
44,0.0030153508771929823,-130.46682167053223
45,0.0030153508771929823,-130.46682167053223
46,0.0028782894736842104,-130.46682167053223
47,0.0028782894736842104,-130.46682167053223
48,0.0021929824561403508,-130.46682167053223
49,0.0021929824561403508,-130.46682167053223
