Iteration,Mask Proportion,Reward Average
1,1.0,-143.56893920898438
2,0.9666940789473685,-122.59928512573242
3,0.9311951754385965,-119.3329496383667
4,0.9014528508771931,-117.662184715271
5,0.8708881578947367,-116.46242141723633
6,0.8426535087719297,-115.34781742095947
7,0.8174342105263158,-114.58839797973633
8,0.7919407894736842,-113.84650230407715
9,0.7700109649122807,-113.29110145568848
10,0.7495888157894737,-112.76286792755127
11,0.7298519736842104,-112.26464748382568
12,0.7123081140350878,-111.85095405578613
13,0.6970942982456139,-111.51877880096436
14,0.6780427631578948,-111.18844604492188
15,0.6639254385964912,-110.97660446166992
16,0.6499451754385964,-110.75584125518799
17,0.6363760964912282,-110.55857563018799
18,0.623766447368421,-110.38026142120361
19,0.6089638157894737,-110.07501125335693
20,0.5963541666666666,-109.88692951202393
21,0.5816885964912281,-109.73416519165039
22,0.5683936403508772,-109.64361763000488
23,0.5560581140350878,-109.53839206695557
24,0.5453673245614036,-109.43085765838623
25,0.5337171052631579,-109.36208248138428
26,0.5213815789473684,-109.29047393798828
27,0.5082236842105263,-109.16907405853271
28,0.49629934210526316,-109.07179164886475
29,0.48273026315789475,-109.0210371017456
30,0.47108004385964913,-108.90873622894287
31,0.4601151315789473,-108.86521625518799
32,0.4470942982456141,-108.79875755310059
33,0.43558114035087725,-108.76196670532227
34,0.4231085526315789,-108.74060821533203
35,0.4103618421052631,-108.7072286605835
36,0.39871162280701755,-108.65173149108887
37,0.381578947368421,-108.58951759338379
38,0.36951754385964913,-108.57032108306885
39,0.35224780701754377,-108.5394115447998
40,0.33689692982456143,-108.47839069366455
41,0.3192160087719298,-108.44244861602783
42,0.3015350877192982,-108.40848445892334
43,0.28179824561403505,-108.35078620910645
44,0.2590460526315789,-108.323655128479
45,0.23245614035087714,-108.23056125640869
46,0.20353618421052627,-108.21223449707031
47,0.17146381578947367,-108.16829872131348
48,0.12801535087719298,-108.0595064163208
49,0.06359649122807018,-108.01894474029541
