Iteration,Mask Proportion,Reward Average
1,1.0,-143.56893920898438
2,0.9808114035087718,-140.32600212097168
3,0.9613486842105263,-138.32224655151367
4,0.9396929824561404,-136.15748405456543
5,0.920641447368421,-134.1538372039795
6,0.899671052631579,-131.91437339782715
7,0.8797971491228069,-130.99909782409668
8,0.8585526315789473,-129.68444538116455
9,0.8390899122807017,-127.89751720428467
10,0.8196271929824561,-126.58077621459961
11,0.7994791666666667,-125.31102561950684
12,0.7798793859649122,-124.21095752716064
13,0.7568530701754385,-123.11591053009033
14,0.7382127192982457,-122.27718925476074
15,0.7158717105263158,-120.7286548614502
16,0.6964089912280702,-119.8656702041626
17,0.6751644736842105,-118.65944862365723
18,0.6540570175438597,-117.72317600250244
19,0.6332236842105263,-116.78963661193848
20,0.6118421052631579,-116.37440013885498
21,0.5914199561403509,-115.45605182647705
22,0.5699013157894737,-114.83505630493164
23,0.5519462719298246,-114.73830223083496
24,0.5302905701754386,-114.47721195220947
25,0.5076754385964912,-114.16644096374512
26,0.48821271929824567,-114.00694274902344
27,0.47066885964912275,-113.62856864929199
28,0.4498355263157895,-113.13268375396729
29,0.4300986842105263,-112.88879871368408
30,0.40666118421052627,-112.76153469085693
31,0.3848684210526315,-112.49545764923096
32,0.36485745614035087,-112.31040954589844
33,0.34621710526315785,-112.15147876739502
34,0.3257949561403508,-112.08568382263184
35,0.30715460526315785,-111.77104091644287
36,0.2839912280701754,-111.57136821746826
37,0.26151315789473684,-111.12869358062744
38,0.24328399122807015,-110.91206932067871
39,0.2210800438596491,-110.71525001525879
40,0.20148026315789472,-110.77170658111572
41,0.18092105263157895,-110.65790939331055
42,0.16200657894736842,-110.62891483306885
43,0.14226973684210525,-110.40106010437012
44,0.12253289473684212,-110.42311573028564
45,0.10197368421052631,-110.35397911071777
46,0.0800438596491228,-110.34332275390625
47,0.0596217105263158,-110.19332122802734
48,0.03714364035087719,-109.96774673461914
49,0.016721491228070172,-109.78540897369385
