Iteration,Mask Proportion,Reward Average
1,1.0,-143.56893920898438
2,0.9804002192982455,-140.4517045021057
3,0.9581962719298246,-138.5974138379097
4,0.938733552631579,-137.71950697898865
5,0.9189967105263157,-136.85530906915665
6,0.8998081140350878,-135.8320198059082
7,0.8792489035087718,-134.03643018007278
8,0.8586896929824562,-133.44600385427475
9,0.8393640350877194,-132.71770930290222
10,0.8197642543859648,-131.95934277772903
11,0.7971491228070176,-131.22896987199783
12,0.7778234649122807,-130.41564863920212
13,0.756578947368421,-130.31419450044632
14,0.7368421052631577,-129.79257488250732
15,0.717516447368421,-129.49973499774933
16,0.6954495614035088,-129.2115776538849
17,0.6744791666666666,-128.74220097064972
18,0.6521381578947368,-128.21566087007523
19,0.6317160087719298,-127.3138422369957
20,0.6110197368421053,-127.22410154342651
21,0.5878563596491228,-126.68184608221054
22,0.5679824561403508,-126.34719282388687
23,0.5485197368421052,-125.9607817530632
24,0.5254934210526315,-125.71783816814423
25,0.5057565789473685,-125.50091457366943
26,0.4864309210526316,-125.65785652399063
27,0.4698464912280701,-125.36592125892639
28,0.4479166666666666,-125.19879645109177
29,0.430235745614035,-125.1089928150177
30,0.4077576754385964,-124.94286251068115
31,0.38623903508771923,-125.08701986074448
32,0.3645833333333333,-124.86202585697174
33,0.3471765350877193,-124.57557010650635
34,0.3274396929824561,-124.40173006057739
35,0.3067434210526316,-124.11318629980087
36,0.28385416666666663,-124.31297022104263
37,0.2635690789473684,-124.3708307147026
38,0.24259868421052627,-124.23375499248505
39,0.22245065789473684,-124.13364100456238
40,0.19997258771929824,-124.253726541996
41,0.18092105263157893,-124.29797905683517
42,0.15926535087719298,-124.28778737783432
43,0.13665021929824558,-124.3651322722435
44,0.11773574561403508,-124.4004637002945
45,0.09799890350877191,-124.21017777919769
46,0.07538377192982455,-124.11139941215515
47,0.057702850877192985,-124.16751283407211
48,0.03865131578947368,-124.08870702981949
49,0.022203947368421052,-124.11262714862823
