Iteration,Mask Proportion,Reward Average,DDG Train Average,DDG Eval Average,ProtGPT Average
1,1.0,-143.56893920898438,0.24166008830070496,0.6693868041038513,-143.56893920898438
2,0.9808114035087718,-140.32600212097168,0.30287932977080345,0.8575206100940704,-140.32600212097168
3,0.9613486842105263,-138.32224655151367,0.31663239002227783,0.8878693878650665,-138.32224655151367
4,0.9396929824561404,-136.15748405456543,0.32646045461297035,0.8841169103980064,-136.15748405456543
5,0.920641447368421,-134.1538372039795,0.31325726956129074,0.7590891718864441,-134.1538372039795
6,0.899671052631579,-131.91437339782715,0.33332832902669907,0.6443892866373062,-131.91437339782715
7,0.8797971491228069,-130.99909782409668,0.3271714262664318,0.629455853253603,-130.99909782409668
8,0.8585526315789473,-129.68444538116455,0.33036867529153824,0.562256783246994,-129.68444538116455
9,0.8390899122807017,-127.89751720428467,0.3435872010886669,0.4008937496691942,-127.89751720428467
10,0.8196271929824561,-126.58077621459961,0.3402256369590759,0.3313488382846117,-126.58077621459961
11,0.7994791666666667,-125.31102561950684,0.3430613726377487,0.18545376509428024,-125.31102561950684
12,0.7798793859649122,-124.21095752716064,0.3394252099096775,0.05800916627049446,-124.21095752716064
13,0.7568530701754385,-123.11591053009033,0.3402423784136772,-0.04061303101480007,-123.11591053009033
14,0.7382127192982457,-122.27718925476074,0.33261941000819206,-0.16693106945604086,-122.27718925476074
15,0.7158717105263158,-120.7286548614502,0.31862280145287514,-0.22445752657949924,-120.7286548614502
16,0.6964089912280702,-119.8656702041626,0.3251455072313547,-0.20002095913514495,-119.8656702041626
17,0.6751644736842105,-118.65944862365723,0.3241940066218376,-0.2709018881432712,-118.65944862365723
18,0.6540570175438597,-117.72317600250244,0.33474742993712425,-0.3089148700237274,-117.72317600250244
19,0.6332236842105263,-116.78963661193848,0.332920141518116,-0.33747187815606594,-116.78963661193848
20,0.6118421052631579,-116.37440013885498,0.3381437584757805,-0.3235012535005808,-116.37440013885498
21,0.5914199561403509,-115.45605182647705,0.317154161632061,-0.37128468230366707,-115.45605182647705
22,0.5699013157894737,-114.83505630493164,0.3264933004975319,-0.3788232048973441,-114.83505630493164
23,0.5519462719298246,-114.73830223083496,0.3215425219386816,-0.3513983488082886,-114.73830223083496
24,0.5302905701754386,-114.47721195220947,0.3071416765451431,-0.3575902469456196,-114.47721195220947
25,0.5076754385964912,-114.16644096374512,0.32840160839259624,-0.30387236177921295,-114.16644096374512
26,0.48821271929824567,-114.00694274902344,0.32606409303843975,-0.3057927847839892,-114.00694274902344
27,0.47066885964912275,-113.62856864929199,0.3317263647913933,-0.3095918456092477,-113.62856864929199
28,0.4498355263157895,-113.13268375396729,0.3315718676894903,-0.28041129652410746,-113.13268375396729
29,0.4300986842105263,-112.88879871368408,0.3231629393994808,-0.2546332748606801,-112.88879871368408
30,0.40666118421052627,-112.76153469085693,0.3306646663695574,-0.24924814235419035,-112.76153469085693
31,0.3848684210526315,-112.49545764923096,0.3268746193498373,-0.2643094174563885,-112.49545764923096
32,0.36485745614035087,-112.31040954589844,0.3154354505240917,-0.25116850808262825,-112.31040954589844
33,0.34621710526315785,-112.15147876739502,0.3107657842338085,-0.25141738168895245,-112.15147876739502
34,0.3257949561403508,-112.08568382263184,0.30127972457557917,-0.25565489241853356,-112.08568382263184
35,0.30715460526315785,-111.77104091644287,0.3165504150092602,-0.20077037857845426,-111.77104091644287
36,0.2839912280701754,-111.57136821746826,0.3265938702970743,-0.1649014763534069,-111.57136821746826
37,0.26151315789473684,-111.12869358062744,0.3269657623022795,-0.1569050895050168,-111.12869358062744
38,0.24328399122807015,-110.91206932067871,0.32232432439923286,-0.1649505882523954,-110.91206932067871
39,0.2210800438596491,-110.71525001525879,0.32829949632287025,-0.12894080602563918,-110.71525001525879
40,0.20148026315789472,-110.77170658111572,0.32455914095044136,-0.13360538333654404,-110.77170658111572
41,0.18092105263157895,-110.65790939331055,0.3231793660670519,-0.13443510280922055,-110.65790939331055
42,0.16200657894736842,-110.62891483306885,0.31767687015235424,-0.1491487929597497,-110.62891483306885
43,0.14226973684210525,-110.40106010437012,0.3211364820599556,-0.14248063298873603,-110.40106010437012
44,0.12253289473684212,-110.42311573028564,0.3274502232670784,-0.1286231481935829,-110.42311573028564
45,0.10197368421052631,-110.35397911071777,0.3318849578499794,-0.11165387998335063,-110.35397911071777
46,0.0800438596491228,-110.34332275390625,0.336747158318758,-0.10470564174465835,-110.34332275390625
47,0.0596217105263158,-110.19332122802734,0.33618108555674553,-0.10345891420729458,-110.19332122802734
48,0.03714364035087719,-109.96774673461914,0.3345883786678314,-0.10866259946487844,-109.96774673461914
49,0.016721491228070172,-109.78540897369385,0.32807959616184235,-0.12005431717261672,-109.78540897369385
