Iteration,Mask Proportion,Reward Average,DDG Train Average,DDG Eval Average,ProtGPT Average
1,1.0,-143.56893920898438,0.24166008830070496,0.6693868041038513,-143.56893920898438
2,0.9298245614035087,-128.96057510375977,0.3844461366534233,0.6261704638600349,-128.96057510375977
3,0.8596491228070172,-120.64269161224365,0.35941994190216064,0.10518605774268508,-120.64269161224365
4,0.7897478070175439,-114.71721267700195,0.2384189534932375,-0.5637952834367752,-114.71721267700195
5,0.7203947368421052,-110.76196670532227,0.09283899050205946,-0.7207886576652527,-110.76196670532227
6,0.6511787280701754,-108.3613166809082,0.03187147108837962,-0.7018033340573311,-108.3613166809082
7,0.5822368421052634,-107.33669853210449,-0.0023981845006346703,-0.6982668191194534,-107.33669853210449
8,0.5123355263157896,-106.44946384429932,-0.000516591826453805,-0.707128033041954,-106.44946384429932
9,0.44188596491228066,-106.04170036315918,-0.04413706064224243,-0.7498645558953285,-106.04170036315918
10,0.367735745614035,-105.81876277923584,-0.06875493645202368,-0.7745072767138481,-105.81876277923584
11,0.2902960526315789,-105.71743392944336,-0.0767184232827276,-0.7856351286172867,-105.71743392944336
12,0.20641447368421048,-105.68502998352051,-0.09058130951598287,-0.8016862347722054,-105.68502998352051
13,0.14048793859649122,-105.68073081970215,-0.0888412717031315,-0.8079512417316437,-105.68073081970215
14,0.09361293859649122,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
15,0.06510416666666667,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
16,0.04358552631578948,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
17,0.029331140350877194,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
18,0.020285087719298246,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
19,0.015762061403508776,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
20,0.013020833333333332,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
21,0.011513157894736841,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
22,0.00986842105263158,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
23,0.008771929824561403,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
24,0.008360745614035088,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
25,0.008223684210526315,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
26,0.008223684210526315,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
27,0.008223684210526315,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
28,0.008223684210526315,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
29,0.008223684210526315,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
30,0.007949561403508772,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
31,0.007538377192982455,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
32,0.007401315789473684,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
33,0.007264254385964912,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
34,0.006716008771929825,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
35,0.006716008771929825,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
36,0.006716008771929825,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
37,0.006716008771929825,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
38,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
39,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
40,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
41,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
42,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
43,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
44,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
45,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
46,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
47,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
48,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
49,0.006578947368421052,-105.67149829864502,-0.0922703790711239,-0.813684731721878,-105.67149829864502
